Year,Primary Type,Description,Location Description,Latitude,Longitude
2001,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,41.986305561,-87.658250171
2001,THEFT,ATTEMPT THEFT,DEPARTMENT STORE,41.781322048,-87.683554536
2001,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,41.874915502,-87.744646076
2001,BATTERY,SIMPLE,CTA BUS,41.930890044,-87.785747492
2001,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),41.892616992,-87.626164024
2001,CRIMINAL DAMAGE,TO PROPERTY,POLICE FACILITY/VEH PARKING LOT,41.903240208,-87.643352262
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.874478205,-87.642501427
2001,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,41.992129582,-87.655598951
2001,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.754658085,-87.741385006
2001,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,41.809450742,-87.684968661
2001,THEFT,OVER $500,RESIDENCE,41.936993937,-87.659016744
2001,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),41.969504285,-87.700414126
2001,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,ALLEY,41.798310251,-87.619463566
2001,THEFT,$500 AND UNDER,RESIDENCE,41.855750392,-87.674072782
2001,BATTERY,SIMPLE,APARTMENT,41.766886827,-87.660628761
2001,BATTERY,SIMPLE,APARTMENT,41.958728325,-87.73427201
2001,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,41.880995464,-87.692129998
2001,NARCOTICS,POSS: HEROIN(WHITE),STREET,41.858224611,-87.723544992
2001,NARCOTICS,POSS: CRACK,STREET,41.801108465,-87.664917766
2001,THEFT,$500 AND UNDER,STREET,41.906570604,-87.722622261
2001,NARCOTICS,POSS: CRACK,SIDEWALK,41.925918629,-87.702039396
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.885841941,-87.72235699
2001,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,41.933296584,-87.678298728
2001,BURGLARY,FORCIBLE ENTRY,RESTAURANT,41.85230378,-87.67458167
2001,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,41.810050662,-87.675128468
2001,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,41.802814636,-87.661023303
2001,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,41.893111325,-87.755196374
2001,THEFT,$500 AND UNDER,SMALL RETAIL STORE,41.765988783,-87.573789768
2001,THEFT,$500 AND UNDER,DRUG STORE,41.937691376,-87.649343116
2001,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,41.743381141,-87.56839496
2001,ROBBERY,STRONGARM - NO WEAPON,STREET,41.869315939,-87.686258555
2001,BATTERY,SIMPLE,CTA PLATFORM,41.780317074,-87.60607554
2001,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.731258267,-87.637260507
2001,THEFT,OVER $500,AIRPORT/AIRCRAFT,41.976200173,-87.905312411
2001,BATTERY,SIMPLE,CHA APARTMENT,41.819537938,-87.62002027
2001,THEFT,OVER $500,GAS STATION,41.802377658,-87.587983049
2001,BATTERY,SIMPLE,RESTAURANT,41.751458052,-87.585974115
2001,ASSAULT,SIMPLE,RESIDENCE,41.926040541,-87.744080762
2001,NARCOTICS,MANU/DELIVER:CRACK,STREET,41.871822662,-87.699766859
2001,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,CHA APARTMENT,41.897513616,-87.664798621
2001,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,41.809289576,-87.616733704
2001,BATTERY,SIMPLE,STREET,41.764992532,-87.715722995
2001,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),41.686460314,-87.610212479
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.769431492,-87.616279363
2001,BATTERY,SIMPLE,APARTMENT,41.754919244,-87.562804545
2001,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.781573396,-87.596084914
2001,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,41.774722576,-87.588684602
2001,THEFT,$500 AND UNDER,RESIDENCE,41.78986766,-87.692327564
2001,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,41.796166584,-87.799258306
2001,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,41.73471906,-87.585746867
